"uid","hh_in_r2","hh_in_r3","hh_in_r3_d2","refugee","num_child_base","num_child_r2","num_child_r3","hh_head_sex","hh_head_age","parent_edu_r2","parent_edu_r3","hh_asset_index","hh_asset_index_2017","hh_asset_value","hh_asset_value_2017","hh_cons_agg","hh_cons_capita","hh_income","cantril","parent_eduyears_r2","parent_reledu_r2","parent_eduyears_r3","parent_reledu_r3","distancekmfromcamps","eld_sex_r2","eld_sex_r3","eld_age_r2","eld_age_r3","eld_edu_ambition_r2","eld_edu_ambition_r3","eld_eduyears_r2","eld_eduyears_r3","eld_reledu_r2","eld_reledu_r3","eld_trauma_exp_r2","eld_trauma_exp_r3","eld_trauma_heard_r2","eld_trauma_heard_r3","eld_trauma_witness_r2","eld_trauma_witness_r3","eld_e01_currently_studying_r2","eld_e01_currently_studying_r3","eld_e01_edu_status__r2","eld_e01_edu_status__r3","edu_status_diff","int_sex_r2","int_sex_r3","int_age_r2","int_age_r3","int_eduyears_r2","int_eduyears_r3","int_reledu_r2","int_reledu_r3","int_trauma_exp_r2","int_trauma_exp_r3","int_trauma_heard_r2","int_trauma_heard_r3","int_trauma_witness_r2","int_trauma_witness_r3"
"C601002010",0,0,0,1,0,NA,NA,0,25,NA,NA,-2.35747289657593,2.92803001403809,0.3,60.2022,9.00000063702464e-06,4.50000017881393e-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C601002011",1,0,0,1,0,0,NA,0,25,NA,NA,-1.73381400108337,0.501014411449432,0.45,1.02952578125,0.000108999999798834,5.45000016689301e-05,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,20,NA,0,NA,0,NA,1,NA,3,NA,4,NA
"C601002012",0,0,0,1,2,NA,NA,1,29,NA,NA,-2.35747289657593,2.41780638694763,0.35,88.905925,1.99999995529652e-05,6.66666626930237e-06,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C601002013",1,1,0,1,5,3,3,0,40,NA,NA,0.365816086530685,2.71504926681519,3.01,89.15515,0.0358652499997523,0.00512360725402832,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,30,30,0,0,1,1,1,1,5,5,3,3
"C601003001",0,1,0,1,2,NA,1,0,28,NA,NA,-1.86557650566101,1.02204263210297,0.32,22.6655640625,2.69999995827675e-05,6.74999952316284e-06,0.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,25,NA,0,NA,0,NA,0,NA,5,NA,5
"C601003002",1,0,0,1,3,1,NA,0,50,NA,NA,-1.24191761016846,-0.668769717216492,0.8,1.13467392578125,0.0211615000003949,0.00235127773284912,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C601003003",0,0,0,1,1,NA,NA,1,60,NA,NA,-1.05740404129028,-1.73067963123322,0.62,0.412128466796875,2.99999993294477e-06,1.49999996647239e-06,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C601003004",0,1,0,1,1,NA,0,1,20,NA,NA,-2.63264632225037,-0.387137442827225,0.22,2.9374111328125,0.0025019999999553,0.00125100002288818,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,20,NA,0,NA,0,NA,5,NA,3,NA,2
"C601003005",1,1,1,1,3,2,2,0,28,NA,1,-1.86557650566101,2.95892310142517,0.6,52.89789375,0.037157800001977,0.00619296684265137,0.5,1,NA,NA,0,0,NA,NA,0,NA,28,NA,NA,NA,0,NA,0,NA,0,NA,5,NA,7,NA,NA,NA,NA,NA,0,1,28,26,0,4,0,0,0,0,5,3,7,7
"C601003006",1,1,0,1,2,2,2,0,23,NA,NA,-1.18916654586792,2.37369632720947,0.42,24.9425828125,0.0205412499992177,0.00513531265258789,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,21,21,4,4,0,0,4,4,2,2,6,6
"C601003007",1,1,0,1,5,5,5,1,50,NA,NA,-0.934639036655426,2.41715097427368,0.47,47.142825,0.00602399999955669,0.0010039999961853,0.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,50,NA,0,NA,0,NA,4,NA,1,NA,4
"C601003008",0,0,0,1,3,NA,NA,0,37,NA,NA,-1.24191761016846,0.782843589782715,0.9,49.272303125,0.153340999999829,0.0306682006835938,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C601003009",1,1,1,1,5,5,5,0,38,NA,1,-0.893045663833618,3.42277598381042,1.05,59.0519625,0.0605784999996424,0.00757231216430664,0.612,3,NA,NA,0,0,NA,NA,0,NA,38,NA,NA,NA,0,NA,0,NA,3,NA,4,NA,3,NA,NA,NA,NA,NA,0,1,38,35,0,0,0,1,3,1,4,6,3,4
"C601003010",1,0,0,1,5,3,NA,0,38,NA,NA,-1.46433985233307,4.78955364227295,0.51,66.05366875,2.60000006295741e-05,3.71428579092026e-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,38,NA,0,NA,1,NA,3,NA,4,NA,3,NA
"C601003011",0,0,0,1,3,NA,NA,0,68,NA,NA,-2.14074969291687,3.45426678657532,0.8,54.7559375,0.108514833206404,0.0217029663085937,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C601003012",1,1,0,1,5,4,4,0,32,NA,NA,-2.14074969291687,0.581670165061951,0.26,51.33469375,0.00604619999909773,0.000863742828369141,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,32,32,0,0,1,1,3,3,1,1,6,6
"C601003013",0,0,0,1,4,NA,NA,0,32,NA,NA,-1.24191761016846,-1.9762749671936,0.38,0.322128466796875,0.0256329007633962,0.00427215003967285,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C602004001",1,1,0,1,1,0,0,0,50,NA,NA,-0.840294659137726,1.46540296077728,0.89,63.09985625,0.0530689999995753,0.0106138000488281,0.307,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,50,19,0,4,0,0,2,2,5,5,2,2
"C602004002",1,0,0,1,1,0,NA,0,25,NA,NA,-1.51709091663361,3.77933883666992,0.97,93.826625,0.0100310908060521,0.00334369697570801,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,25,NA,9,NA,0,NA,0,NA,1,NA,8,NA
"C602004003",1,1,1,1,4,4,4,0,50,NA,1,-1.51709091663361,-0.460390001535416,0.9,46.580578125,0.0220367499991786,0.00275459365844727,0.92,4,NA,NA,0,0,NA,NA,0,NA,50,NA,NA,NA,0,NA,0,NA,3,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C602004004",1,1,1,1,6,6,6,0,46,NA,1,-2.00898742675781,2.13344168663025,0.8,47.3120125,0.0897499969482422,0.01121875,0.05,4,NA,NA,0,0,NA,NA,0,NA,46,NA,NA,NA,0,NA,0,NA,0,NA,5,NA,4,NA,NA,NA,NA,NA,0,0,46,46,0,0,0,0,0,0,5,5,4,4
"C602004005",1,1,0,1,5,4,4,0,58,2,NA,-1.42653548717499,0.931707561016083,1.22,38.745325,0.0913388999979943,0.0130484146118164,0.544,NA,4,0,NA,NA,NA,0,NA,14,NA,NA,NA,4,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,1,NA,15,NA,4,NA,0,NA,1,NA,5,NA,0,NA
"C602004006",0,0,0,1,2,NA,NA,0,26,NA,NA,-0.840680956840515,3.74259901046753,1.015,49.795725,0.023394849999703,0.00584871253967285,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C602004007",0,0,0,1,4,NA,NA,1,30,NA,NA,-1.24191761016846,0.931309223175049,0.84,47.0157875,0.0370707496201619,0.00741415023803711,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C602004008",1,0,0,1,1,0,NA,0,27,NA,NA,-0.216635748744011,3.56667232513428,1.3,88.887,0.075057666666247,0.0150115325927734,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,27,NA,0,NA,1,NA,4,NA,3,NA,5,NA
